中文,中文繁体,英文,日语,韩语,德语,西班牙语,父记录
PeakWatch,,PeakWatch,PeakWatch,PeakWatch,PeakWatch,PeakWatch,
身体电量,身體電量,Body Battery,ボディバッテリー,바디 배터리,Body Battery,Body Battery,
实时压力,即時壓力,Stress,ストレス,실시간 스트레스,Stress,Estrés,
训练准备度,訓練準備度,Recovery,回復,회복,Erholung,Recuperación,
体能输出,體能輸出,Exertion,運動負荷,운동 강도,Belastung,Esfuerzo,
睡眠,睡眠,sleep,睡眠,수면,Schlaf,Sueño,
能量平衡,能量平衡,Net Energy,純エネルギー,순 에너지,Nettoenergie,Energía neta,
智能建议,智能建議,Suggestion,提案,제안,Vorschlag,Sugerencia,
健康数据,健康數據,Health data,健康データ,건강 데이터,Gesundheitsdaten,Datos de salud,
今日,今日,Today,今日,오늘,Heute,Hoy,
趋势,趨勢,Trends,トレンド,트렌드,Trends,Tendencias,
运动,運動,Workouts,ワークアウト,운동,Workouts,Entrenamientos,
设置,設置,Settings,設定,설정,Einstellungen,Configuración,
当日运动,當日運動,,,,,,
行为日志,行為日誌,Journal,ジャーナル,저널 / 기록,Journal,Diario,
洞察,洞察,Insights,インサイト,인사이트,Einblicke,Perspectivas,
训练负荷,訓練負荷,Training Load,,,,,
身体年龄,身體年齡,Bio Age,生体年齢,생체 나이,Bio-Alter,Edad biológica,
衰老速度,衰老速度,Pace of Aging,老化ペース,노화 속도,Alterungstempo,Ritmo de edad,
训练疲劳度,訓練疲勞度,Training Fatigue,トレーニング負荷,훈련 부하,Trainingsbelastung,Fatiga de entrenamiento,
运动数据相关,,,,,,,
有氧适能,,Cardio Fitness,心肺フィットネス,심폐 피트니스,Kardio-Fitness,Aptitud cardiovascular,运动数据相关
平均配速,,Avg.Pace（/KM）,平均ペース,평균 페이스,Ø Pace,Ritmo medio,运动数据相关
平均踏频,,Avg.Cadence(RPM),平均ケイデンス,"
평균 케이던스",Ø Kadenz,Cadencia media(单位RPM),运动数据相关
平均功率,,Avg.Power（W）,平均仕事率,평균 파워,Ø Leistung,Potencia media,运动数据相关
平均步频,,Avg.Cadence(SPM),平均ケイデンス,"
평균 케이던스",Ø Kadenz,Cadencia media(单位PPM),运动数据相关
平均步幅,,Avg.Stride Length,平均ストライド,평균 보폭,Ø Schrittlänge,Zancada promedio,运动数据相关
平均触地时间,,Avg.Ground Time,平均接地時間,지면 접촉 시간,Ø Bodenkontaktzeit,Tiempo de contacto,运动数据相关
总步数,,steps,総歩数,총 걸음 수,Gesamtschritte,número de pasos,运动数据相关
,,,,,,,运动数据相关
,,,,,,,运动数据相关
,,,,,,,运动数据相关
